69;0

70;1

66;2

70;4

68;5

68;6

66;7

71;9

68;10

66;11

66;12

69;14

67;15

69;16

67;18

66;20

70;26

67;32

66;38

67;46

66;52

66;58

68;64

67;70

69;76

67;82

69;89

66;95

69;101

68;109

66;116

67;123

68;131

69;138

68;145

66;152

69;159

66;166

69;175

68;182

70;189

68;196

69;203

69;210

70;218

68;225

66;232

67;240

66;247

67;254

69;262

68;269

69;276

71;283

67;290

70;297

69;305

67;313

70;320

71;327

71;334

70;342

70;349

71;356

70;363

70;370

70;378

66;386

71;393

68;400

71;407

69;414

68;421

66;429

66;436

68;444

70;451

71;458

70;465

68;473

70;480

69;487

71;494

66;501

